GameId,Date,Event,RedTeam,BlueTeam,Map,Mode,Screenshot,Sha256,ProvidedBy,Notes
M1,,Khritus raid,,,,CTF,,,,backfilled; screenshot not retained
M2,,Khritus raid,,,,CTF,,,,backfilled; screenshot not retained
M3,,Khritus raid,,,,RAID,,,,backfilled; screenshot not retained
M4,,Khritus raid,,,,CTF,,,,backfilled; screenshot not retained
M5,,Khritus raid,,,,CTF,,,,backfilled; screenshot not retained
M6,,Khritus raid,,,,RAID,,,,backfilled; screenshot not retained
M7,,Astartes vs Insurgents,Astartes,Insurgents,,CTF,,,,backfilled; screenshot not retained
M8,2026,The Imperial Insurgence vs Hostile Forces,The Imperial Insurgence,Hostile Forces,Warehouse,CTF,Screenshots/M8.webp,75e95b979bac608308ce2b7e8ddc976320a33fb96abf2fdc01f6a6ef365bbd45,a_cemaster,webp stored as-is (GDI+ JPEG recompressor cannot decode webp; source already compact)
M9,2026,The Imperial Insurgence vs Hostile Forces,The Imperial Insurgence,Hostile Forces,Warehouse,CTF,Screenshots/M9.webp,f344c24dca1fe1c954ca0e87590b9cc2953a54b722996cbea5c70e68151e01f6,a_cemaster,captured moments before game end (score 1074-1193 of 1200); BLUE heals header read as 50991 (rows sum) not 50691
