LegacyName,OVR,Year,Clan,Leader,Class Player,Cheater,Source,RCL
Commando_Jesus,91,2020,ARCON,,,,2020 tier list,
DoctorSatan,91,2020,ARCON,,,,2020 tier list,
drainsights,91,2020,,,,,2020 tier list,
fytho,91,2020,CSP,,,,2020 tier list,
G2_Jetson,91,2020,OP,,,,2020 tier list,
Gupp_r,91,2020,CSP,,,,2020 tier list,
HALSTAD,91,2020,VAL,,,,2020 tier list,
JAWS,91,2020,VAL,,,,2020 tier list,
monkahpoppin,91,2020,CSP,,,,2020 tier list,
NoClique,91,2020,,,,,2020 tier list,
Octasion,91,2020,ARCON,,,,2020 tier list,
Out_Gunner,91,2020,CSP,,,,2020 tier list,
paul321321,91,2020,CCL,Elite,,,2020 tier list,
Sliqqq,91,2020,OP,,,,2020 tier list,
Swuggah,91,2020,CSP,,,,2020 tier list,
accelfrenzy,91,2023,VAK,,,,2023 tier list,
cartiftf,91,2023,RoR,,,,2023 tier list,
dreaddfuI,91,2023,Silver Crew,,,,2023 tier list,
KiroClique,91,2023,Silver Crew,,,,2023 tier list,
Memeserii,91,2023,Silver Crew,,,,2023 tier list,
Nick_Montana,91,2023,OP,,,,2023 tier list,
turilio,91,2023,SOL,,,,2023 tier list,
danlam,91,2026,,,,,Matcha tier list,
omwhugo,91,2026,,Elite,,,Matcha tier list,
vAbcelon,91,2026,,,,,Matcha tier list,
ariszaas,91,2023,RoA,,,,Personal,
accelfrenzy,91,2022,VAK,,,,2022 Summer Games draft,
Avaitron,91,2021,,,,,Growth interpolation,
KanyesFreshStart,91,2023,,,,,,
Dischanted,91,2023,,,,,,
GhostTactical,91,2021,,,,,Growth interpolation,
s9ense,91,2026,,,,,Personal,
Sidees,91,2023,,,,,,
kiritobriz,91,2020,,,,,2020 CCL stats,
Commando_Lemon,91,2020,,,,,2020 CCL stats,
12ekt,91,2024,SOL,,,,SOL Summer 2024,
faxyst,91,2026,VAK,,,,VCL 2026,
fireschoolbus1,91,2026,VAK,,,,VCL 2026,
tokyosurfer,91,2020,,,,,Latest tier list,
berryboptart,90,2022,VAK,,,,2022 Summer Games draft,
s2n_phino,90,2022,VAK,,,,2022 Summer Games draft,
faxyst,90,2021,,,,,Growth interpolation,
tjejoker87,90,2022,VAK,Elite,,,2022 Summer Games draft,
Commando_Lemon,90,2018,,,,,all-time impact top 100,TRUE
drainsights,90,2021,,,,,2021 gun-clanner list,
RICESREVENGE,90,2021,,,,,2021 gun-clanner list,
tjejoker87,90,2021,,Elite,,,2021 gun-clanner list,
TORMENT_X,90,2021,,,,,all-time impact top 100,
vAbcelon,90,2021,,,,,all-time impact top 100,
C_talyst,90,2023,VAK,,,,2023 tier list,
cahpuh,90,2025,SOL,Experienced,,,Submission,
fireschoolbus1,90,2024,,,,,,
epicwolfgaming1,90,2024,BEAR,,,TRUE,,
racvk,90,2024,SURGE,,,,,
evj,90,2025,SOL,Experienced,,,,
RICESREVENGE,90,2022,VAK,,,,2022 Summer Games draft,
V3KT,90,2021,,,,,Growth interpolation,
racvk,90,2023,SOL,Experienced,,,Personal,
omwhugo,90,2025,SOL,Elite,,,Sol Cup 2025,
c4spian,90,2025,SOL,,,,Sol Cup 2025,
turilio,90,2025,SOL,,,,Sol Cup 2025,
pyxroo,90,2025,SOL,,,,Sol Cup 2025,
evilmatty,90,2020,CSP,,,,2020 CCL stats,
Tenshi,90,2024,,,,,Personal,
V3KT,90,2020,,,,,2020 tier list,
m_jor,90,2023,Snow Core,Elite,,,2023 tier list,
sybr,90,2023,,,,,,
alexthai,90,2022,,,,,,
surgeiano,90,2020,,,,,2020 CCL stats,
xbsightsss,90,2020,,,,,2020 CCL stats,
Gupp_r,90,2022,CSP,,,,haypro top 30,
vAbcelon,90,2022,VAK,,,,haypro top 30,
c4spian,90,2024,SOL,,,,SOL Summer 2024,
evj,90,2024,SOL,Experienced,,,SOL Summer 2024,
turilio,90,2024,SOL,,,,SOL Summer 2024,
dxqip,90,2024,SOL,,,,SOL Summer 2024,
notaprob1em,90,2026,VAK,,,,VCL 2026,
Kneaz,90,2026,VAK,,,,VCL 2026,
qordar,90,2025,BEAR,,,TRUE,,
KanyesFreshStart,89,2022,VAK,,,,2022 Summer Games draft,
Saltigrade,89,2022,VAK,,,,2022 Summer Games draft,
Saltigrade,89,2021,,,,,Growth interpolation,
Br_ce,89,2017,,,,,all-time impact top 100,TRUE
notceps,89,2017,,,,,all-time impact top 100,TRUE
qu0z,89,2018,,,,,all-time impact top 100,TRUE
AIgerr,89,2020,VAK,,,,2020 tier list,
Claaim,89,2020,44th,,,,2020 tier list,
Emmetbrickowski832,89,2020,CSP,,,,2020 tier list,
faxyst,89,2020,44th,,,,2020 tier list,
gagees,89,2020,VAK,,,,2020 tier list,
Hav00k,89,2020,VAL,,,,2020 tier list,
Iqcs,89,2020,OP,,,,2020 tier list,
Pryxis,89,2020,ARCON,Experienced,,,2020 tier list,
Saltigrade,89,2020,VAK,,,,2020 tier list,
sixtense,89,2020,OP,,,,2020 tier list,
tjejoker87,89,2020,,Elite,,,2020 tier list,
Volstag,89,2020,VAK,,,,2020 tier list,
Warspell,89,2020,VAK,,,,2020 tier list,
