LegacyName,OVR,Year,Clan,Leader,Class Player,Cheater,Source,RCL
Oredias,83,2021,,,,,2021 CCL draft,
pastvayne,83,2023,SOL,,,,Sol Cup 2023,
danson30,83,2023,SOL,Elite,,,Sol Cup 2023,
trauma,83,2023,SOL,,,,Sol Cup 2023,
yxng_wes,83,2023,SOL,,,,Sol Cup 2023,
MoriZakura,83,2025,SOL,,,,Sol Cup 2025,
76_71,83,2025,SOL,,,,Sol Cup 2025,
JasRevolution,83,2025,SOL,,,,Sol Cup 2025,
vqke,83,2025,SOL,,,,Sol Cup 2025,
soggystrongman11,83,2021,Prime,,,,,
JAG4UR,83,2021,RoA,,,,Personal,
EastSideCryt,83,2024,SOL,,,,SOL Summer 2024,
HybridCannon,83,2024,SOL,,,,SOL Summer 2024,
iiEmxrld,83,2024,SOL,,,,SOL Summer 2024,
AidanHLB,83,2024,SOL,,,,SOL Summer 2024,
no2roman,83,2024,SOL,,,,SOL Summer 2024,
s2anu,83,2024,SOL,,,,SOL Summer 2024,
RangerRoysReturn,83,2024,SOL,,,,SOL Summer 2024,
thugshaker_loaded,83,2024,SOL,,,,SOL Summer 2024,
Drreaamzz,83,2024,SOL,,,,SOL Summer 2024,
ak6maa,83,2024,SOL,,,,SOL Summer 2024,
scxxar556,83,2024,SOL,,,,SOL Summer 2024,
jimmyrogue,83,2026,VAK,,,,VCL 2026,
SenorMexico,83,2026,VAK,,,,VCL 2026,
Khayso,83,2026,VAK,,,,VCL 2026,
taigahsaber,83,2026,VAK,,,,VCL 2026,
nitrostyx,83,2026,VAK,,,,VCL 2026,
PureNoble,83,2026,VAK,,,,VCL 2026,
Volitiie,83,2026,VAK,,,,VCL 2026,
Hashbroom,83,2026,VAK,,,,VCL 2026,
restlessns,83,2026,VAK,,,,VCL 2026,
timmchu,83,2024,BEAR,Elite,,,Personal,
Aviatrus,83,2026,HMC,Elite,,,Personal,
phoaddiction,82,2025,SOL,,,,Personal,
crapily,82,2022,VAK,,,,2022 Summer Games draft,
evilswag,82,2022,VAK,,,,2022 Summer Games draft,
ApexFaMe,82,2021,,,,,Growth interpolation,
Kneaz,82,2019,,,,,all-time impact top 100,
swugger,82,2019,,,,,all-time impact top 100,
Chronem,82,2021,,,,,2021 gun-clanner list,
Itaachee,82,2021,,,,,2021 gun-clanner list,
KomiiXI,82,2021,,,,,2021 gun-clanner list,
no_logic,82,2023,VAK,,,,2023 tier list,
bboogahh,82,2026,,,,,Matcha tier list,
EVlSI0N,82,2026,,,,,Matcha tier list,
phoaddiction,82,2026,,,,,Matcha tier list,
pulsebric,82,2026,,,,,Matcha tier list,
saventful,82,2026,,,,,Matcha tier list,
x_S1gma,82,2026,,,,,Matcha tier list,
danson30,82,2022,VAK,Elite,,,Personal,
KakashiMontage,82,2021,,,,,Growth interpolation,
blacklights254,82,2021,,,,,2021 CCL draft,
Kneaz,82,2021,,,,,2021 CCL draft,
unforspace,82,2021,,,,,2021 CCL draft,
evilcola,82,2021,,,,,2021 CCL draft,
blacklisting,82,2021,,,,,Personal,
ciedon,82,2023,SOL,,,,Sol Cup 2023,
t_t2535,82,2023,SOL,,,,Sol Cup 2023,
fleethawk,82,2023,SOL,,,,Sol Cup 2023,
nathan,82,2023,SOL,,,,Sol Cup 2023,
Buckape,82,2023,SOL,Elite,,,Personal,
Cowxboy,82,2023,SOL,Elite,,,Personal,
Shockaltar,82,2023,SOL,Experienced,,,Personal,
bladevain,82,2025,SOL,,,,Sol Cup 2025,
SiegeSquad,83,2025,SOL,,,,Raid stats,
artoriaaz,82,2025,SOL,,,,Sol Cup 2025,
64bit56,82,2025,SOL,,,,Sol Cup 2025,
Flamedxx,82,2025,SOL,Experienced,,,Personal,
SaraiReaper,82,2026,VAK,,,,Matcha tier list,
crxucify,82,2021,,,,,2021 CCL draft,
Dahblueman,82,2022,VAK,,,,2022 Summer Games draft,
lucraz,82,2022,VAK,,,,2022 Summer Games draft,
vilesynth,82,2021,,,,,2021 CCL draft,
crxucify,82,2020,VAK,,,,2020 tier list,
GorillaStriker,82,2024,SOL,,,,SOL Summer 2024,
trueywon,82,2026,VAK,,,,VCL 2026,
zeustage,82,2026,VAK,,,,VCL 2026,
ImageMaterial,82,2026,VAK,,,,VCL 2026,
yylchris,82,2026,VAK,,,,VCL 2026,
ryanhero,82,2026,VAK,,,,VCL 2026,
hiversy,82,2026,VAK,,,,VCL 2026,
alphapacts,82,2026,VAK,,,,VCL 2026,
wincountrr,82,2026,VAK,,,,VCL 2026,
wrichest,82,2026,VAK,,,,VCL 2026,
101Uzi,82,2026,VAK,,,,VCL 2026,
olympiaans,82,2026,VAK,,,,VCL 2026,
reaganbeam,82,2026,VAK,,,,VCL 2026,
moosee,82,2026,VAK,,,,VCL 2026,
annonfx,82,2026,VAK,,,,VCL 2026,
bodypacts,82,2026,VAK,,,,VCL 2026,
Crom5STAR,82,2026,VAK,,,,VCL 2026,
Serenspanish,82,2026,VAK,,,,VCL 2026,
Kreoclique,82,2026,VAK,,,,VCL 2026,
Amplifyrr,82,2026,VAK,,,,VCL 2026,
taigahsaber,81,2022,VAK,,,,2022 Summer Games draft,
soggystrongman11,81,2022,VAK,,,,2022 Summer Games draft,
aimalot,81,2022,VAK,,,,2022 Summer Games draft,
B4Mercy,81,2022,VAK,,,,2022 Summer Games draft,
aimalot,81,2021,,,,,Growth interpolation,
actuallyJT,81,2020,VAK,,,,2020 tier list,
Ciintrex,81,2020,,,,,2020 tier list,
danlam,81,2020,Delta,,,,2020 tier list,
DireRedemption,81,2020,Prime,,,,2020 tier list,
Doltic,81,2020,CSP,,,,2020 tier list,
erikspell,81,2020,VAK,,,,2020 tier list,
evj,81,2020,ARCON,Experienced,,,2020 tier list,
Exemplar,81,2020,VAK,,,,2020 tier list,
Fodosnog1029,81,2020,VAK,,,,2020 tier list,
grenegublin,81,2020,OP,Elite,,,2020 tier list,
i3igman,81,2020,44th,,,,2020 tier list,
Iuxcks,81,2020,ARCON,,,,2020 tier list,
nif7y,81,2020,OP,,,,2020 tier list,
Outlocked,81,2020,CSP,,,,2020 tier list,
PowerSoldier,81,2020,ARCON,,,,2020 tier list,
S1XLACK,81,2020,VAK,,,,2020 tier list,
Septical,81,2020,OP,Elite,,,2020 tier list,
Shortwire,81,2020,RSF,,,,2020 tier list,
steaaIs,81,2020,44th,,,,2020 tier list,
Tenebris,81,2020,,,,,2020 tier list,
JasRevelation,81,2026,,,,,Matcha tier list,
GreenMagician2,81,2021,,,,,2021 CCL draft,
Exorunnerr,81,2021,,,,,2021 CCL draft,
Septical,81,2021,,,,,Personal,
rovic72,81,2023,SOL,,,,Sol Cup 2023,
kreayc,81,2023,SOL,,,,Sol Cup 2023,
audity,81,2023,SOL,,,,Sol Cup 2023,
chiefkeef,81,2023,SOL,,,,Sol Cup 2023,
w4nxted,81,2025,SOL,,,,Sol Cup 2025,
Jalahto,81,2025,SOL,,,,Sol Cup 2025,
load8d,81,2025,SOL,,,,Sol Cup 2025,
vndawn,81,2025,SOL,,,,Sol Cup 2025,
mou123_jjj,81,2025,SOL,,,,Sol Cup 2025,
SaraiReaper,81,2025,SOL,,,,Sol Cup 2025,
Scavoh,81,2025,SOL,,,,Sol Cup 2025,
F_OR2NA,81,2025,SOL,,,,Sol Cup 2025,
huskedcoconut,81,2026,RoA,Experienced,,,Personal,
carpetscx,81,2026,VAK,,,,VCL 2026,
LISTRIC,81,2026,VAK,,,,VCL 2026,
samz1ane,81,2026,VAK,,,,VCL 2026,
Hexuol,81,2026,VAK,,,,VCL 2026,
AzurlifiedTyrone,81,2026,VAK,,,,VCL 2026,
Racer_Delta,81,2026,VAK,,,,VCL 2026,
MitsuhaMi_yamizu,81,2026,VAK,,,,VCL 2026,
tgbric,81,2026,VAK,,,,VCL 2026,
KilkaReign,81,2026,VAK,,,,VCL 2026,
Jellith,81,2026,VAK,,,,VCL 2026,
GunPumped,81,2026,VAK,,,,VCL 2026,
Vaiitron,81,2026,VAK,,,,VCL 2026,
idenlsfs,81,2026,VAK,,,,VCL 2026,
w2rrant,81,2026,VAK,,,,VCL 2026,
msr00709,81,2026,VAK,,,,VCL 2026,
waffIicious,81,2026,IA,Elite,,,Personal,
crunchbone,80,2026,RoA,,,,Personal,
Matchaxon,80,2021,,,,,2021 gun-clanner list,
mohxy,80,2020,,,,,2020 tier list,
danlam,80,2021,,,,,all-time impact top 100,
KnightOkami,80,2021,,,,,2021 gun-clanner list,
notfalsh56,80,2021,,,,,2021 gun-clanner list,
c_oastr,80,2026,,,,,Matcha tier list,
chaeworthh,80,2026,,Elite,,,Matcha tier list,
DREAMSKELLYKIRK,80,2026,,Elite,,,Matcha tier list,
fearwove,80,2026,,,,,Matcha tier list,
Friendly_Panda,80,2026,,,,,Matcha tier list,
honouryofhonours,80,2026,,,,,Matcha tier list,
hyd_ruh,80,2026,,,,,Matcha tier list,
lalo13113,80,2026,,,,,Matcha tier list,
roidboy9,80,2026,,,,,Matcha tier list,
shockheIpers,80,2026,,,,,Matcha tier list,
sp_artan,80,2026,,Experienced,,,Matcha tier list,
takifys,80,2026,,,,,Matcha tier list,
Zenstatic,80,2026,,,,,Matcha tier list,
infamuhz,80,2026,,,,,Matcha tier list,
scilz,80,2021,,,,,all-time impact top 100,
imaginestad,80,2021,,,,,Growth interpolation,
rad_6a,80,2021,,,,,Personal,
sentmeister,80,2021,,,,,2021 CCL draft,
HVAX,80,2021,,,,,2021 CCL draft,
TzuyusBiggestFan,80,2021,,,,,2021 CCL draft,
xaiorantt,80,2021,,,,,2021 CCL draft,
berryboptart,80,2021,,,,,Personal,
s2n_phino,80,2021,,,,,Personal,
crash6474,80,2021,,,,,Personal,
Shortnize,80,2020,CSP,,,,Personal,
FeatherRedemption,80,2020,Prime,Elite,,,2020 tier list,
cakeosityz,80,2023,SOL,,,,Sol Cup 2023,
scxxar556,80,2023,SOL,,,,Sol Cup 2023,
khritus,80,2023,SOL,,,,Sol Cup 2023,
makomami,80,2023,SOL,,,,Sol Cup 2023,
Doltic,80,2023,SOL,Experienced,,,Personal,
chf,80,2025,SOL,,,,Sol Cup 2025,
EatSleepOrdana,80,2025,SOL,,,,Sol Cup 2025,
RangerRoysReturn,80,2025,SOL,,,,Sol Cup 2025,
MuzzOnValorant,80,2025,SOL,,,,Sol Cup 2025,
scxxar556,80,2025,SOL,Experienced,,,Personal,
brizingers,80,2022,VAK,,,,2022 Summer Games draft,
NiteOwlFac,80,2016,,,,,all-time impact top 100,TRUE
DeimosXVII,80,2026,VAK,,,,VCL 2026,
Shibiya2k,80,2026,VAK,,,,VCL 2026,
kuurb,80,2026,VAK,,,,VCL 2026,
ScrewCharlie,80,2026,VAK,,,,VCL 2026,
Drawable,80,2026,VAK,,,,VCL 2026,
SALVLN,80,2021,BEAR,,,,,
Synequinox,80,2022,BEAR,,,,,
Fl3xx3cute,80,2022,BEAR,,,,,
FreedomReaper,79,2022,VAK,,,,2022 Summer Games draft,
Rob_ns,79,2022,VAK,,,,2022 Summer Games draft,
aspirrant,79,2022,VAK,,,,2022 Summer Games draft,
deadlyful,79,2022,VAK,,,,2022 Summer Games draft,
highlyy,79,2022,VAK,,,,2022 Summer Games draft,
Centurlons,79,2026,,Experienced,,,Matcha tier list,
Cleave,79,2021,,,,,all-time impact top 100,
Selectrr,79,2020,RSF,,,,2020 tier list,
DarkActuality,79,2021,,,,,2021 CCL draft,
NoClique,79,2021,,,,,2021 CCL draft,
Gimmiq,79,2021,,,,,2021 CCL draft,
LONGLIVESWAGCION,79,2021,,,,,2021 CCL draft,
Hoolay,79,2021,,,,,2021 CCL draft,
Doltic,79,2021,,,,,2021 CCL draft,
onestrive,79,2023,SOL,,,,Sol Cup 2023,
duelsight,79,2023,SOL,,,,Sol Cup 2023,
strix,79,2023,SOL,,,,Sol Cup 2023,
Ukiyiue,79,2023,SOL,,,,Sol Cup 2023,
hebis,79,2025,SOL,,,,Sol Cup 2025,
creamsxf,79,2025,SOL,,,,Sol Cup 2025,
bigoptics,79,2025,SOL,,,,Sol Cup 2025,
LONEGODKING,79,2025,SOL,,,,Sol Cup 2025,
Heo1000,79,2025,SOL,Experienced,,,Personal,
B1GMOP,79,2024,SOL,Experienced,,,SOL Summer 2024,
tsuhirol,79,2026,VAK,,,,VCL 2026,
Kryex,79,2026,VAK,,,,VCL 2026,
Khayso,78,2022,VAK,,,,2022 Summer Games draft,
TALL3R,78,2022,VAK,,,,2022 Summer Games draft,
Racer_Delta,78,2022,VAK,,,,2022 Summer Games draft,
DallasIX,78,2020,,,,,all-time impact top 100,
FCBDev,78,2021,,,,,2021 gun-clanner list,
f_reakmaster,78,2026,RoA,,,,,
stynxz,78,2022,VAK,,,,2022 Summer Games draft,
vast2002,78,2022,VAK,,,,2022 Summer Games draft,
faster2345,78,2022,VAK,,,,Personal,
B4Mercy,78,2021,,,,,Growth interpolation,
DallasIX,78,2021,,,,,2021 CCL draft,
Isxaiah,78,2021,,,,,2021 CCL draft,
gloryaims,78,2023,SOL,,,,Sol Cup 2023,
pengu,78,2023,SOL,,,,Sol Cup 2023,
Mydrek,78,2023,SOL,,,,Sol Cup 2023,
villainfein,78,2025,SOL,,,,Sol Cup 2025,
hailmario,78,2025,SOL,,,,Sol Cup 2025,
dxreaddd,78,2025,SOL,,,,Sol Cup 2025,
FlawlessOSKO,78,2025,SOL,,,,Sol Cup 2025,
EastSideOscarV,78,2026,VAK,,,,VCL 2026,
Stips2000,78,2026,VAK,,,,VCL 2026,
eman0908,78,2026,VAK,,,,VCL 2026,
Kaisryn,78,2026,VAK,,,,VCL 2026,
jxck345,78,2026,VAK,,,,VCL 2026,
racvk,77,2021,,,,,2021 CCL draft,
KEVSTAD,77,2021,,,,,2021 CCL draft,
cartihasadurag,77,2021,,,,,2021 CCL draft,
Rob_ns,77,2021,,,,,Growth interpolation,
ActualOps,77,2020,VAK,,,,2020 tier list,
ApexFaMe,77,2020,VAK,,,,2020 tier list,
Banspell,77,2020,VAK,,,,2020 tier list,
Banvax,77,2020,OP,,,,2020 tier list,
bottomfragg3r,77,2020,44th,,,,2020 tier list,
Buckape,77,2020,ARCON,,,,2020 tier list,
BulletIV,77,2020,44th,,,,2020 tier list,
destrono,77,2020,S9,,,,2020 tier list,
Destroyer18111,77,2020,VAK,,,,2020 tier list,
dylanzy,77,2020,VAK,,,,2020 tier list,
Exorunner,77,2020,,,,,2020 tier list,
Jerehly,77,2020,CSP,,,,2020 tier list,
Jpekvv,77,2020,Prime?,,,,2020 tier list,
Kneaz,77,2020,VAK,,,,2020 tier list,
manqo,77,2020,RSF,,,,2020 tier list,
Onespell,77,2020,VAK,,,,2020 tier list,
Versace,77,2020,RSF,,,,2020 tier list,
Xalorant,77,2020,S9,,,,2020 tier list,
Crytioneon,77,2021,,,,,2021 gun-clanner list,
aesenq,77,2026,,,,,Matcha tier list,
Aphnology,77,2026,,,,,Matcha tier list,
DireRedemption,77,2026,,,,,Matcha tier list,
Exosvh,77,2026,,,,,Matcha tier list,
MatchaRevolution,77,2026,AC,,,,Matcha tier list,
Ronentide,77,2026,,,,,Matcha tier list,
VT_saber,77,2026,,,,,Personal,
ReachSavior,77,2022,VAK,,,,2022 Summer Games draft,
Rezvop,77,2022,VAK,,,,2022 Summer Games draft,
highlyy,77,2021,,,,,Growth interpolation,
NBA2kFortnite,77,2022,VAK,,,,2022 Summer Games draft,
ScrewCharlie,77,2022,VAK,,,,2022 Summer Games draft,
vas_ts,77,2022,VAK,,,,2022 Summer Games draft,
Bevoc,77,2021,,,,,2021 CCL draft,
pyte,77,2021,,,,,2021 CCL draft,
Vearoe,77,2021,,,,,2021 CCL draft,
evol7g,77,2021,,,,,2021 CCL draft,
Trippystad,77,2021,,,,,2021 CCL draft,
enzyum,77,2021,,,,,2021 CCL draft,
Jpekvx,77,2021,,,,,2021 CCL draft,
benjabase,77,2024,,,,,Submission,
cerbinary,77,2023,SOL,,,,Sol Cup 2023,
jex,77,2023,SOL,,,,Sol Cup 2023,
desoleum,77,2023,SOL,,,,Sol Cup 2023,
ZANSHIN,77,2023,SOL,,,,Sol Cup 2023,
RushAiot,77,2025,SOL,,,,Sol Cup 2025,
vairiue,77,2025,SOL,,,,Sol Cup 2025,
Un_lt,77,2025,SOL,,,,Sol Cup 2025,
CorgiFlopper,77,2025,SOL,,,,Sol Cup 2025,
drazmor,77,2025,SOL,,,,Sol Cup 2025,
HybridCannon,77,2025,SOL,,,,Sol Cup 2025,
duospell,77,2025,SOL,,,,Sol Cup 2025,
dawglocks,77,2025,SOL,,,,Sol Cup 2025,
stynxz,77,2025,SOL,Experienced,,,Personal,
sat5806,77,2026,Astora,,,,,
Aegians,77,2026,VAK,,,,VCL 2026,
euricys,77,2026,VAK,,,,VCL 2026,
AxzCypher,77,2026,VAK,,,,VCL 2026,
SinRival_Octa,77,2026,VAK,,,,VCL 2026,
ItsWhirr,77,2026,VAK,,,,VCL 2026,
SCAHRFACE,76,2021,,,,,2021 CCL draft,
gr4bner,76,2021,,,,,2021 CCL draft,
iTzFunny,76,2021,,,,,2021 CCL draft,
Takayuhki,76,2021,,,,,2021 CCL draft,
V1nvoc,76,2021,,,,,2021 CCL draft,
notnko,76,2021,,,,,2021 CCL draft,
dexyspace,76,2021,,,,,2021 CCL draft,
Gloryfixation,76,2021,,,,,2021 CCL draft,
Laedere,76,2021,,,,,2021 CCL draft,
aspirrant,76,2021,,,,,2021 CCL draft,
SevMagnius,76,2021,,,,,2021 CCL draft,
twilstal,76,2021,,,,,2021 CCL draft,
destrono,76,2021,,,,,2021 CCL draft,
vaek,76,2021,,,,,2021 CCL draft,
CrylixBIoom,76,2021,,,,,2021 CCL draft,
steaaIs,76,2021,,,,,2021 CCL draft,
Eriksen,76,2020,,,,,all-time impact top 100,
eppyagyeman10,76,2021,,,,,2021 gun-clanner list,
GS_Dubble,76,2021,,,,,2021 gun-clanner list,
ScrewCharlie,76,2021,,,,,all-time impact top 100,
YesssRyan,76,2021,,,,,2021 gun-clanner list,
Vacutome,76,2022,VAK,,,,Personal,
Racer_Delta,76,2021,,,,,Growth interpolation,
DoctorKhel,76,2022,VAK,,,,2022 Summer Games draft,
KakashiMontage,76,2022,VAK,,,,2022 Summer Games draft,
cowashiro,76,2022,VAK,,,,2022 Summer Games draft,
onyxrealm,76,2022,VAK,,,,2022 Summer Games draft,
ere7,76,2022,VAK,,,,2022 Summer Games draft,
SOA_spectre,76,2022,VAK,,,,2022 Summer Games draft,
Drainzeebe,76,2022,VAK,,,,2022 Summer Games draft,
cannneddog,76,2022,VAK,,,,2022 Summer Games draft,
omwhugo,76,2021,,,,,2021 CCL draft,
palmgrip,76,2023,SOL,,,,Sol Cup 2023,
imperiummydrek,76,2023,SOL,,,,Sol Cup 2023,
deafsteal,76,2023,SOL,,,,Sol Cup 2023,
Logan,76,2023,SOL,,,,Sol Cup 2023,
deputykills,76,2025,SOL,,,,Sol Cup 2025,
bunnyypls,76,2025,SOL,,,,Sol Cup 2025,
Erutais,76,2025,SOL,,,,Sol Cup 2025,
DivinityShatters,76,2025,SOL,,,,Sol Cup 2025,
eularfan0719,76,2026,VAK,,,,VCL 2026,
sportsfan0719,76,2026,VAK,,,,VCL 2026,
opulo,76,2026,VAK,,,,VCL 2026,
lilpoketto,76,2026,VAK,,,,VCL 2026,
twinjosh0605,76,2026,VAK,,,,VCL 2026,
sammyspell,76,2026,VAK,,,,VCL 2026,
TH3BETA1SH3RE,76,2026,VAK,,,,VCL 2026,
xd_bullersej,76,2026,VAK,,,,VCL 2026,
AJOUTLET,76,2026,VAK,,,,VCL 2026,
Dubiov,76,2026,VAK,,,,VCL 2026,
RubyGrPT,75,2021,,,,,2021 CCL draft,
vsoqs,75,2021,,,,,2021 CCL draft,
revanspell,75,2021,,,,,2021 CCL draft,
TALL3R,75,2021,,,,,2021 CCL draft,
LoyalReaper,75,2021,,,,,2021 CCL draft,
celestlalrogue,75,2021,,,,,2021 CCL draft,
taigahsaber,75,2021,,,,,2021 CCL draft,
RAZ2LEDAZ2LES,75,2021,,,,,2021 CCL draft,
AidanHLB,75,2021,,,,,2021 CCL draft,
S_weddie,75,2021,,,,,2021 CCL draft,
anthshiro,75,2021,,,,,2021 CCL draft,
saekouh,75,2021,,,,,2021 CCL draft,
makomami,75,2021,,,,,2021 CCL draft,
Evilon1y,75,2021,,,,,2021 CCL draft,
armored79,75,2021,,,,,2021 CCL draft,
akenosurf,75,2021,,,,,2021 CCL draft,
Desolade,75,2021,,,,,2021 CCL draft,
Speeeewn,75,2021,,,,,2021 CCL draft,
Clxsh,75,2021,,,,,2021 CCL draft,
EnviroReaper,75,2021,,,,,2021 CCL draft,
Outlocked,75,2021,,,,,2021 CCL draft,
TurtleQC,75,2021,,,,,2021 CCL draft,
v_0qry,75,2021,,,,,2021 CCL draft,
jamall,75,2021,,,,,2021 CCL draft,
AbnormalyYaeger,75,2021,,,,,2021 CCL draft,
Isodore,75,2021,,,,,2021 CCL draft,
DrewCypher,75,2021,,,,,2021 CCL draft,
GHOSTTFUL,75,2021,,,,,2021 CCL draft,
Knightborne,75,2021,,,,,2021 CCL draft,
nflhero,75,2021,,,,,2021 CCL draft,
HorusThorn,75,2021,,,,,2021 CCL draft,
EL_PREZZ,75,2021,,,,,2021 CCL draft,
Valoured,75,2021,,,,,2021 CCL draft,
MAM_BAH,75,2021,,,,,2021 CCL draft,
GODMODEVAPOR,75,2021,,,,,2021 CCL draft,
Bimpar,75,2021,,,,,2021 CCL draft,
Aritional,75,2019,,,,,all-time impact top 100,
Govand,75,2019,,,,,all-time impact top 100,
6litcher,75,2021,,,,,2021 gun-clanner list,
cf0921,75,2023,RoR,,,,2023 tier list,
NoAimLoser4,75,2023,SOL,,,,2023 tier list,
SaiyanOnyx,75,2023,VAK,,,,2023 tier list,
topfloorboss,75,2023,SOL,,,,2023 tier list,
Bqttles,75,2026,,,,,Personal,
Spartandownload,75,2021,DS,,,,,
ere7,75,2021,,,,,Growth interpolation,
LQC,75,2022,VAK,,,,2022 Summer Games draft,
Azukarn,75,2022,VAK,,,,2022 Summer Games draft,
relorse,75,2022,VAK,,,,2022 Summer Games draft,
gr4bner,75,2022,VAK,,,,2022 Summer Games draft,
Shokuhuo,75,2022,VAK,,,,2022 Summer Games draft,
Actraz,75,2022,VAK,,,,2022 Summer Games draft,
SALVLN,75,2022,VAK,,,,2022 Summer Games draft,
hiversy,75,2022,VAK,,,,2022 Summer Games draft,
RangerRoysReturn,75,2021,,,,,2021 CCL draft,
Avendail,75,2021,,,,,2021 CCL draft,
wets_n,75,2021,,,,,2021 CCL draft,
Bobonasir,75,2021,,,,,2021 CCL draft,
Ohhlcy,75,2021,,,,,2021 CCL draft,
sebaku,75,2021,,,,,2021 CCL draft,
JoebertJohnson,75,2021,,,,,2021 CCL draft,
KittyyFaMe,75,2021,,,,,2021 CCL draft,
rekvz,75,2021,,,,,2021 CCL draft,
Kazetagi,75,2021,,,,,2021 CCL draft,
trulybelle,75,2021,,,,,2021 CCL draft,
xaitons,75,2021,,,,,2021 CCL draft,
ssported,75,2021,,,,,2021 CCL draft,
h_rmonic,75,2021,,,,,2021 CCL draft,
rexr_x,75,2021,,,,,2021 CCL draft,
Deathonis,75,2021,,,,,2021 CCL draft,
GLIMPSE,75,2021,,,,,2021 CCL draft,
xSimSights,75,2021,,,,,2021 CCL draft,
sammyspell,75,2021,,,,,2021 CCL draft,
envyyz,75,2021,,,,,2021 CCL draft,
Tomon1y,75,2021,,,,,2021 CCL draft,
Xyroux,75,2021,,,,,2021 CCL draft,
bedioc,75,2021,,,,,2021 CCL draft,
visualcqc,75,2021,,,,,2021 CCL draft,
Fruity_Nuts,75,2021,,,,,2021 CCL draft,
Valkyrianz,75,2021,,,,,2021 CCL draft,
LUNAST4D,75,2021,,,,,2021 CCL draft,
voxodus,75,2021,,,,,2021 CCL draft,
ju_nll,75,2021,,,,,2021 CCL draft,
evll2e,75,2021,,,,,2021 CCL draft,
DestinedEnd,75,2021,,,,,2021 CCL draft,
cynicalxva,75,2021,,,,,2021 CCL draft,
Swaagify,75,2021,,,,,2021 CCL draft,
deezman44,75,2021,,,,,2021 CCL draft,
icyyrogue,75,2021,,,,,2021 CCL draft,
bladesaber,75,2021,,,,,2021 CCL draft,
asunnoo,75,2021,,,,,2021 CCL draft,
MamuClique,75,2021,,,,,2021 CCL draft,
Waxer222,75,2021,,,,,2021 CCL draft,
stavcks,75,2021,,,,,2021 CCL draft,
crimzoh,75,2023,SOL,,,,Sol Cup 2023,
rcl_bad,75,2023,SOL,,,,Sol Cup 2023,
baloke10,75,2023,SOL,,,,Sol Cup 2023,
Carnaevor,75,2023,SOL,,,,Sol Cup 2023,
MAITRELIVI,75,2025,SOL,,,,Sol Cup 2025,
Friendly_Panda,75,2025,SOL,,,,Sol Cup 2025,
HalfCajun,75,2025,SOL,,,,Sol Cup 2025,
SebbxCore,75,2025,SOL,,,,Sol Cup 2025,
prayalott,75,2024,SURGE,,,,Submission,
hell_ovashot,75,2026,VAK,,,,VCL 2026,
dynamic_en,75,2026,VAK,,,,VCL 2026,
Templa_r,75,2026,VAK,,,,VCL 2026,
Laffayeta,75,2026,VAK,,,,VCL 2026,
perlasvu,75,2026,VAK,,,,VCL 2026,
Armorop123,75,2026,VAK,,,,VCL 2026,
gloryaims,75,2026,VAK,,,,VCL 2026,
Asceno,75,2026,VAK,Experienced,,,VCL 2026,
Digi,75,2026,VAK,,,,VCL 2026,
vacyls,75,2026,VAK,,,,VCL 2026,
Pethenin,75,2026,VAK,,,,VCL 2026,
SanguineVAX,75,2026,VAK,,,,VCL 2026,
GeneralDroid,75,2026,WIJ,,,,Personal,
0xvv,74,2020,TNI:C,,,,2020 tier list,
Andrezspanish,74,2020,44th,,,,2020 tier list,
Atreus_Raverus,74,2020,ARCON,,,,2020 tier list,
b4Mercy,74,2020,SOCOM,,,,2020 tier list,
Biotidal,74,2020,44th,,,,2020 tier list,
Blackovian,74,2020,,,,,2020 tier list,
Candystad,74,2020,TRA,,,,2020 tier list,
conrpg,74,2020,,,,,2020 tier list,
Diub,74,2020,,,,,2020 tier list,
eppyagyeman10,74,2020,VAL,,,,2020 tier list,
Ere7,74,2020,VAK,,,,2020 tier list,
Exkeon,74,2020,VAL,Elite,,,2020 tier list,
FluffyAtor,74,2020,Prime,,,,2020 tier list,
FrankMachiavelli,74,2020,delta,,,,2020 tier list,
G2_Bobo,74,2020,ARCON,,,,2020 tier list,
G2_xy,74,2020,,,,,2020 tier list,
Goldyah,74,2020,Prime,,,,2020 tier list,
highlyy,74,2020,Prime,,,,2020 tier list,
HowToEatRice,74,2020,VAL,,,,2020 tier list,
imaginestad,74,2020,44th,,,,2020 tier list,
Kaptaxn,74,2020,UoA,,,,2020 tier list,
kevinator,74,2020,,,,,2020 tier list,
Kinjaz,74,2020,Prime,,,,2020 tier list,
Knightborne,74,2020,CSP,,,,2020 tier list,
Luxestrive,74,2020,CSP,,,,2020 tier list,
MeliRedemption,74,2020,Prime,,,,2020 tier list,
MyxRemeption,74,2020,Prime,,,,2020 tier list,
navyspell,74,2020,44th,,,,2020 tier list,
NS_Dream,74,2020,44th,,,,2020 tier list,
racer_delta,74,2020,VAK,,,,2020 tier list,
Recontrack,74,2020,RSF,,,,2020 tier list,
Rob_ns,74,2020,VAK,,,,2020 tier list,
Taller,74,2020,VAK,,,,2020 tier list,
Tenshi,74,2020,OP,,,,2020 tier list,
Tkarhski,74,2020,TNIC,,,,2020 tier list,
Trippystad,74,2020,ARCON,,,,2020 tier list,
Trixxy,74,2020,VAK,,,,2020 tier list,
Unfortunat_ly,74,2020,,,,,2020 tier list,
Vearoe,74,2020,VAK,,,,2020 tier list,
Veluct,74,2020,,,,,2020 tier list,
